rooms,avg_rent_price,min_rent_price,max_rent_price,median_rent_price,count_rent
1.0,2066.67,850.0,4500.0,850.0,3
1.5,10000.0,10000.0,10000.0,10000.0,1
2.0,7962.5,4500.0,13000.0,7900.0,8
2.5,8000.0,8000.0,8000.0,8000.0,1
3.0,12475.0,6750.0,20500.0,12500.0,10
3.5,17500.0,13000.0,22000.0,17500.0,2
4.0,1162200.0,17000.0,5690000.0,34500.0,5
4.5,14000.0,3000.0,25000.0,14000.0,2
5.0,33040.5,9662.0,70000.0,26250.0,4
5.5,28000.0,28000.0,28000.0,28000.0,1
6.0,42400.0,19800.0,65000.0,42400.0,2
7.0,85000.0,85000.0,85000.0,85000.0,1
